outcome_type,outcome_class,N,mean_tau2,var_tau2,median_tau2
binary,objective,2185,0.096025243153242,0.12955290596961,0
binary,other,12682,0.138632116897009,0.287596123302948,0
binary,subjective,1843,0.0706217362803764,0.104435828391826,0
continuous,objective,171,1.89655116163765,153.596747825803,0.024898295182099
continuous,other,170,1.90772756098841,154.550231427779,0.024898295182099
continuous,subjective,84,0.569792147725462,1.44192228074433,0.133016764025406
generic,objective,23,0.147111039591801,0.128259851438697,0
generic,other,51,2.87512881613172,144.611774275889,0.00627652338728584
generic,subjective,27,6.52008537371511,400.376732168497,0
